timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227827061,19,POST /booking/,409,,Guest makes a booking 2-36,text,false,,153,543,2,9,http://localhost:8080/booking/,19,0,0
1735227827408,4,GET /room/,200,,Admin makes a booking 1-34,text,true,,528,280,7,8,http://localhost:8080/room/,4,0,0
1735227827707,39,POST /booking/,201,,Admin makes a booking 1-31,text,true,,394,584,7,8,http://localhost:8080/booking/,39,0,0
1735227828272,14,POST /auth/validate,200,,Admin makes a booking 1-36,,true,,133,344,6,7,http://localhost:8080/auth/validate,14,0,0
1735227828286,5,GET /message/count,200,,Admin makes a booking 1-36,text,true,,224,288,6,7,http://localhost:8080/message/count,4,0,0
1735227828724,3,GET /room/,200,,Guest makes a booking 2-37,text,true,,528,248,1,7,http://localhost:8080/room/,3,0,0
1735227828728,9,POST /auth/login,200,,Admin makes a booking 1-38,,true,,177,332,7,8,http://localhost:8080/auth/login,9,0,1
1735227828743,8,GET /branding/,200,,Guest makes a booking 2-38,text,true,,785,252,2,9,http://localhost:8080/branding/,7,0,0
1735227828978,40,POST /booking/,201,,Admin makes a booking 1-32,text,true,,395,582,7,9,http://localhost:8080/booking/,40,0,0
1735227829670,4,GET /room/,200,,Admin makes a booking 1-36,text,true,,528,280,6,8,http://localhost:8080/room/,4,0,0
1735227829674,26,GET /report/,200,,Admin makes a booking 1-36,text,true,,4529,282,6,8,http://localhost:8080/report/,26,0,0
1735227830386,3,GET /room/,200,,Guest makes a booking 2-38,text,true,,528,248,2,8,http://localhost:8080/room/,3,0,0
1735227830680,22,POST /booking/,409,,Admin makes a booking 1-33,text,false,,153,587,6,8,http://localhost:8080/booking/,22,0,0
1735227830940,9,GET /report/room/1,200,,Guest makes a booking 2-37,text,true,,3746,256,2,7,http://localhost:8080/report/room/1,9,0,0
1735227830949,14,POST /booking/,409,,Guest makes a booking 2-37,text,false,,153,550,2,7,http://localhost:8080/booking/,14,0,0
1735227831311,6,GET /room/,200,,Admin makes a booking 1-35,text,true,,528,280,5,6,http://localhost:8080/room/,5,0,0
1735227831728,11,POST /auth/login,200,,Admin makes a booking 1-39,,true,,177,332,6,7,http://localhost:8080/auth/login,11,0,0
1735227831741,4,GET /branding/,200,,Guest makes a booking 2-39,text,true,,785,252,2,8,http://localhost:8080/branding/,4,0,0
1735227831746,7,POST /auth/validate,200,,Admin makes a booking 1-37,,true,,133,344,6,8,http://localhost:8080/auth/validate,7,0,0
1735227831753,4,GET /message/count,200,,Admin makes a booking 1-37,text,true,,224,288,6,8,http://localhost:8080/message/count,4,0,0
1735227832413,7,POST /booking/,409,,Admin makes a booking 1-34,text,false,,153,582,6,8,http://localhost:8080/booking/,7,0,0
1735227833060,8,GET /report/room/1,200,,Guest makes a booking 2-38,text,true,,3746,256,2,7,http://localhost:8080/report/room/1,8,0,0
1735227833068,17,POST /booking/,409,,Guest makes a booking 2-38,text,false,,153,545,2,7,http://localhost:8080/booking/,17,0,0
1735227833834,4,GET /room/,200,,Guest makes a booking 2-39,text,true,,528,248,1,6,http://localhost:8080/room/,4,0,0
1735227834396,9,POST /auth/validate,200,,Admin makes a booking 1-38,,true,,133,344,5,6,http://localhost:8080/auth/validate,9,0,0
1735227834405,5,GET /message/count,200,,Admin makes a booking 1-38,text,true,,224,288,5,6,http://localhost:8080/message/count,5,0,0
1735227834581,4,GET /room/,200,,Admin makes a booking 1-37,text,true,,528,280,5,6,http://localhost:8080/room/,4,0,0
1735227834586,24,GET /report/,200,,Admin makes a booking 1-37,text,true,,4529,282,5,6,http://localhost:8080/report/,24,0,0
1735227834742,5,GET /branding/,200,,Guest makes a booking 2-40,text,true,,785,252,2,8,http://localhost:8080/branding/,5,0,0
1735227834726,22,POST /auth/login,200,,Admin makes a booking 1-40,,true,,177,332,6,8,http://localhost:8080/auth/login,22,0,0
1735227835321,12,POST /auth/validate,200,,Admin makes a booking 1-39,,true,,133,344,6,8,http://localhost:8080/auth/validate,12,0,0
1735227835334,3,GET /message/count,200,,Admin makes a booking 1-39,text,true,,224,288,6,8,http://localhost:8080/message/count,3,0,0
1735227835966,8,GET /report/room/1,200,,Guest makes a booking 2-39,text,true,,3746,256,2,8,http://localhost:8080/report/room/1,8,0,0
1735227835974,8,POST /booking/,409,,Guest makes a booking 2-39,text,false,,153,540,2,8,http://localhost:8080/booking/,8,0,0
1735227836262,3,GET /room/,200,,Guest makes a booking 2-40,text,true,,528,248,1,7,http://localhost:8080/room/,3,0,0
